,text
344,2.3 informatica client tool train material train materials dw bi tool etl informatica informatica train material ppt
345,2.4 transformation 1 train material train materials dw bi tool etl informatica informatica train material ppt
346,2.5 transformation 2 train material train materials dw bi tool etl informatica informatica train material ppt
347,2.6 transformation 3 train material train materials dw bi tool etl informatica informatica train material ppt
348,3.1 oltp (during) train material train materials dw bi tool etl informatica informatica train material ppt
349,3.2 adv. infa workflow schedulingtask train material train materials dw bi tool etl informatica informatica train material ppt
350,"3.3 scd type 1,2,3 (during) train material train materials dw bi tool etl informatica informatica train material ppt"
351,3.4 scd train material train materials dw bi tool etl informatica informatica train material ppt
352,4. informatica pc 7 vs pc 8 train material train materials dw bi tool etl informatica informatica train material ppt
353,informatica new featueres train material train materials dw bi tool etl informatica informatica train material doc
354,informatica train vinod train material train materials dw bi tool etl informatica informatica train material doc
355,thumb train material train materials dw bi tool etl informatica informatica train material db
356,2676c95c train material train materials dw bi tool bi bo test tmp
357,551330fc train material train materials dw bi tool bi bo test tmp
358,bi trainning train material train materials dw bi tool bi bo test ppt
359,bo train complete with exercise train material train materials dw bi tool bi bo test ppt
360,c019e4cd train material train materials dw bi tool bi bo test tmp
361,f23ee1ad train material train materials dw bi tool bi bo test tmp
362,thumb train material train materials dw bi tool bi bo test db
363,cognnos analysis studio i train material train materials dw bi tool bi cognos ppt
364,cognnos analysis studio ii train material train materials dw bi tool bi cognos ppt
365,cognos connection train material train materials dw bi tool bi cognos ppt
366,cognos end to end guide to report train material train materials dw bi tool bi cognos pdf
367,cognos event studio train material train materials dw bi tool bi cognos ppt
368,cognos introduction train material train materials dw bi tool bi cognos ppt
369,cognos overview of report tool train material train materials dw bi tool bi cognos pdf
370,cognos report studio train material train materials dw bi tool bi cognos ppt
371,thumb train material train materials dw bi tool bi cognos db
372,mstr train day 1 train material train materials dw bi tool bi microstrategy ppt
373,mstr train day 2 train material train materials dw bi tool bi microstrategy ppt
374,mstr train day 3 train material train materials dw bi tool bi microstrategy ppt
375,mstr train day 4 train material train materials dw bi tool bi microstrategy ppt
376,mstr train day 5(icube) train material train materials dw bi tool bi microstrategy ppt
377,1 obiee overview train material train materials dw bi tool bi obiee ppt
378,2 obiee answer and dashbaords train material train materials dw bi tool bi obiee ppt
379,"answers, delivers, and interactive dashboards user guide train material train materials dw bi tool bi obiee pdf"
380,obiee train plan train material train materials dw bi tool bi obiee xls
381,thumb train material train materials dw bi tool bi obiee db
382,a learners guide to data warehouse test touch point train material train materials dw bi test basics of dwt doc
383,overview of data warehouse test train material train materials dw bi test basics of dwt doc
384,ivs te year2 ppt vbscript train material train materials introduction to macros excel macros ppt
385,data warehouse test approach and standards train material train materials dw bi test basics of dwt pdf
386,weekly status report template templates status report ppt
387,dw bi test infosys capabilities collateral dw bi test ppt
388,dw bi test service definition collateral dw bi test ppt
389,infosys dw bi test faqs v01 collateral dw bi test doc
390,"infosys data test service fsivs fsivs dwt-bi,tdm,big data collateral dw bi test zip"
391,estimation utility v1.2 templates estimation xltm
392,fs ssdu service offer v2 feb15 collateral ppt
393,comparsion of perfaware with industry tool tool and accelerators infosys accelarators infosys perfaware xls
394,dw bi master defect repository v2 0 final tool and accelerators reusable artifacts xls
395,reusable etl scenarios v 1 tool and accelerators reusable artifacts xls
396,ssdu etl and data warehouse interview kit etl train material train materials dw bi test basics of dwt xls
397,dw bi test best practice best practice xls
398,infosys data warehouse test solution capability overview tool and accelerators infosys accelarators infosys perfaware ppt
399,perfaware comparison with informatica dvo tool and accelerators infosys accelarators infosys perfaware ppt
400,introduction to data warehouse train material train materials dw bi test dwt bootcamp day 1 introduction to dwt ppt
401,data warehouse life cycle train material train materials dw bi test dwt bootcamp day 1 introduction to dwt ppt
402,data warehouse test approach train material train materials dw bi test dwt bootcamp day 2 dwt lifecycle _test strategy ppt
403,data warehouse test strategy train material train materials dw bi test dwt bootcamp day 2 dwt lifecycle _test strategy ppt
404,introduction to informatica train material train materials dw bi test dwt bootcamp day 3 informatica ppt
405,introduction to business object train material train materials dw bi test dwt bootcamp day 4 business object ppt
406,bo presentation train material train materials dw bi test dwt bootcamp day 4 business object ppt
407,day7 infosys perfaware train material train materials dw bi test dwt bootcamp day 5 perfaware ppt
408,dwt case study train material train materials dw bi test dwt bootcamp day 5 perfaware ppt
409,introduction to rdbms sql basics train material train materials dw bi test rdbms ppt
410,introduction to rdbms train material train materials dw bi test rdbms ppt
411,introduction to excel macros train material train materials introduction to macros excel macros ppt
412,business object report rfp response rfp s financial service ppt
413,well fargo disputemax report test infysol v1 rfp s financial service ppt
414,infosys response to waddell reed rfp for edw solution integration 1.2 rfp s financial service doc
415,infosys response to waddell reed rfp for advisors implementation v1.0 rfp s financial service doc
416,"adobe cq 5 create one responsive website for desktop, tablet and mobile white paper bi test whitepapers pdf"
417,real time data warehouse live business analytics white paper bi test whitepapers ppt
418,security test in business intelligence tool white paper bi test whitepapers pdf
419,automation in dwt white paper data warehouse test automation pdf
420,butterfly effect in datawarehouse test white paper data warehouse test automation pdf
421,data warehouse test use macros and shell script carry no tag white paper data warehouse test automation doc
422,nurture smartness in data warehouse test white paper etl current trend doc
423,system integration tesing agile perspective white paper etl current trend doc
424,whitepaper on realtime data warehouse latest trend in data warehouse white paper etl current trend doc
425,best practice in datawarehouse test white paper etl best practice and test strategy doc
426,challenge in test multilingual databases white paper etl best practice and test strategy pdf
427,dwt challanges and workarounds in trade collateral migration copy white paper etl best practice and test strategy doc
428,essential elements metrics dwt coe white paper etl best practice and test strategy pdf
429,greek or latin ensure data quality while validate multilingual data in dwt white paper etl best practice and test strategy pdf
430,how triage help in dwh test white paper etl best practice and test strategy doc
431,test a customer concern white paper etl best practice and test strategy doc
432,test etls in dw white paper etl best practice and test strategy doc
433,value of qa in dwt white paper etl best practice and test strategy doc
434,"citi genesis ab initio study v1 0 citi oracle,netezza,teradata,ab initio,bo,aginity netezza work bench,hp qc case study by technology ab initio financial service ppt"
435,bo report for a lead bank in us case study by technology business object financial service ppt
436,cognos report test in agile model case study by technology cognos report financial service ppt
437,informatica test for fidelity case study by technology informatica financial service ppt
438,etl test use informatica for a uk base client case study by technology informatica financial service ppt
439,etl test use informatica for cloud storage case study by technology informatica financial service ppt
440,etl test use informatica for online document storage platform case study by technology informatica financial service ppt
441,teradata test service for decision platform use hask key map logic case study by technology teradata financial service ppt
442,teradata case study for fatca conformance case study by technology teradata financial service ppt
443,bo report for a lead bank in us case study by vertical financial service ppt
444,cognos report test in agile model case study by vertical financial service ppt
445,informatica test for fidelity case study by vertical financial service ppt
446,teradata case study for fatca conformance case study by vertical financial service ppt
447,teradata test service for decision platform use hask key map logic case study by vertical financial service ppt
448,"allstate siebel dw propose solution cic+abi+ars v0n rfp s hilife healthcare, insurance and life sciences ppt"
449,"infosys response to nexus rfp 30 oct 2013 rfp s hilife healthcare, insurance and life sciences pdf"
450,"aon wrap ivs test approach latest rfp s hilife healthcare, insurance and life sciences ppt"
451,"infosys proposal for john hancock fund admin security master phaseiia rfp s hilife healthcare, insurance and life sciences ppt"
452,"anthem dw test presentation v1 rfp s hilife healthcare, insurance and life sciences ppt"
453,"manulife phase 3 plan update rfp s hilife healthcare, insurance and life sciences ppt"
454,"manulife dataphile proposal update rfp s hilife healthcare, insurance and life sciences ppt"
455,"infosys response to nationwide seibel2 rfp s hilife healthcare, insurance and life sciences doc"
456,"infosys response to ltc lift and shift v0 08 rfp s hilife healthcare, insurance and life sciences doc"
457,"mir pov v3 rfp s hilife healthcare, insurance and life sciences ppt"
458,basel dwt automation case study case study by vertical health care insurance and life sciences ppt
459,amex basel dwt solution 05082015 collateral dw bi test ppt
460,trp informatica upgrade test infosys rfp s financial service ppt
461,infosys bi tester ivs ss bi bi test tool and accelerators tool and macros wmv
462,mfgivs msbi casestudies case study by vertical manufacture ppt
463,citi ffs sit case study v1.0 case study by vertical financial service ppt
464,citi genesis case study v1.0 case study by vertical financial service ppt
465,etl test barclays retail bank bars2stp case study by vertical financial service ppt
466,etl test barclays card baredcs2 case study by vertical financial service ppt
467,etl test barclays card barmccsz case study by vertical financial service ppt
468,crc case studyv1 0 case study by vertical financial service ppt
469,citi usrri case study v1 0 case study by vertical financial service ppt
470,idtw leaflet tool and accelerators infosys accelarators infosys perfaware collaterals pdf
471,infosys data warehouse test solution capability overview tool and accelerators infosys accelarators infosys perfaware collaterals ppt
472,infosys data warehouse test solution single slider tool and accelerators infosys accelarators infosys perfaware collaterals ppt
473,infosys data test workbench faqs tool and accelerators infosys accelarators infosys perfaware help document pdf
474,infosysdatatestingwb user guide tool and accelerators infosys accelarators infosys perfaware help document pdf
475,perfaware performance benchmarking detail tool and accelerators infosys accelarators infosys perfaware help document doc
476,perfaware system requirements tool and accelerators infosys accelarators infosys perfaware help document ppt
477,perfaware v4.0 installerguide v1.0 tool and accelerators infosys accelarators infosys perfaware help document doc
478,allstate allbridge perfaware case study v2 0 tool and accelerators infosys accelarators infosys perfaware case study ppt
479,automation of post hana migration data validation adidas tool and accelerators infosys accelarators infosys perfaware case study ppt
480,bnsf ch case study v1.0 tool and accelerators infosys accelarators infosys perfaware case study ppt
481,cme customer perfaware poc report tool and accelerators infosys accelarators infosys perfaware case study ppt
482,ets consumer hub wgs initial load perfaware test execution summary v1 0 tool and accelerators infosys accelarators infosys perfaware case study ppt
483,gap pw case study v 0 1 tool and accelerators infosys accelarators infosys perfaware case study ppt
484,ihl customer perfaware poc report tool and accelerators infosys accelarators infosys perfaware case study ppt
485,nordstrom case study tool and accelerators infosys accelarators infosys perfaware case study ppt
486,perfaware implementation at gap inc. for data test tool and accelerators infosys accelarators infosys perfaware case study msg
487,perfaware bofa case study tool and accelerators infosys accelarators infosys perfaware case study ppt
488,perfaware case study nordstrom tool and accelerators infosys accelarators infosys perfaware case study ppt
489,perfaware pointsolutiondoc v1.0 tool and accelerators infosys accelarators infosys perfaware case study pdf
490,perfaware ubs poc tool and accelerators infosys accelarators infosys perfaware case study ppt
491,perfaware jcpenny tool and accelerators infosys accelarators infosys perfaware case study ppt
492,sdm soar case study tool and accelerators infosys accelarators infosys perfaware case study ppt
493,tdm perfaware case study sdm tool and accelerators infosys accelarators infosys perfaware case study ppt
494,tfs data migration case study tool and accelerators infosys accelarators infosys perfaware case study ppt
495,twc case study v1 0 tool and accelerators infosys accelarators infosys perfaware case study ppt
496,well point data conversion case study v1 0 tool and accelerators infosys accelarators infosys perfaware case study ppt
497,perfaware video tool and accelerators infosys accelarators infosys perfaware pdf
498,infosys datatesting workbench demo tool and accelerators infosys accelarators infosys perfaware demo zip
499,infosys data test workbench market demo tool and accelerators infosys accelarators infosys perfaware demo zip
500,perfaware video1 tool and accelerators infosys accelarators infosys perfaware wmv
501,gap and jcp bi report tester gap bi report retail case study by vertical retail ppt
502,gap etl dwh casestudy gap etl dwh retail case study by vertical retail ppt
503,nab gdw fatca casestudy nab etl dwh finanacial service case study by vertical financial service ppt
504,nmg edw etl report validation casestudy norstrom etl bi retail case study by vertical retail ppt
505,teradata case study norstrom etl retail case study by vertical retail ppt
506,cisco bi autoamtion case study cisco bi test mfg case study by vertical manufacture ppt
507,suntrust case studyv1 1 suntrust bi test financial service case study by vertical financial service ppt
508,ahold mdm test case study v1.0 case study by technology mdm ppt
509,bnsf ch case study v1.0 case study by technology mdm ppt
510,nordstrom epm case study v1.0 case study by technology mdm ppt
511,mcdermott mdm case study v1.0 case study by technology mdm ppt
512,integrate macros utilities tool platform tool and accelerators tool and macros xls
513,percolation of perfaware bi tester and cub validation tool (2) collateral xls
514,cgc idw st case study v1 0 cgc dw/bi financial service case study by technology informatica financial service ppt
515,idtw perfaware demo tool and accelerators idtw perfaware flash demo mp4
516,"well fargo case study v0.1 well fargo informatica, oracle etl test case study by technology informatica financial service ppt"
517,smc estimation model templates estimation xlsm
518,perfaware demo tool and accelerators infosys accelarators infosys perfaware mp4
519,tuem estimation model templates estimation xls
520,teststrategy v1 1 templates test strategy doc
521,sit test exceution and result report templates result report xls
522,sit test exceution and result report templates status report xls
523,test result summary report templates result report doc
524,requirements traceability matrix template templates traceability xls
525,test data generator tool and accelerators tool and macros xlsm
526,cctv soap ui framework for test data creation and comparison tool and accelerators tool and macros zip
527,elitedatacomparator tool and accelerators tool and macros zip
528,caliber dq analyzer manual tool and accelerators tool and macros caliber dq analyzer doc
529,caliber dq analyzer tool and accelerators tool and macros caliber dq analyzer xlsm
530,daemon unix base dqa tool and accelerators tool and macros daemon unix base dqa doc
531,daemon tool and accelerators tool and macros daemon unix base dqa zip
532,trs generator.xls tool and accelerators tool and macros xlsm
533,flat file mocker tool and accelerators tool and macros zip
534,fama report comparator tool and accelerators tool and macros xlsm
535,data validation use dvo tool and accelerators informatica_accelerators pdf
536,data validation use haskkeymappings tool and accelerators informatica_accelerators pdf
537,msim bi report tool and accelerators microsift integrity manager doc
538,bok 607211 gap bok on msim tool and accelerators microsift integrity manager doc
539,itut 547088 tool and accelerators microsift integrity manager doc
540,test automation use autoetl tester tool rcl tool and accelerators auto etl tester ppt
541,auto etl tester tool and accelerators auto etl tester doc
542,parallel tester in rb rcl tool and accelerators auto etl tester ppt
543,bi report tester gap tool and accelerators bi report tester ppt
544,bi report tester enhancement tool and accelerators bi report tester ppt
545,prompt recorder tool and accelerators prompt recorder ppt
546,test data setup use informaticatdm tool and accelerators informatica_accelerators pdf
547,test data setup use ab initio tool and accelerators ab initio_accelerators pdf
548,question bank informatica and ab initio train material train materials question bank xls
549,etlcoe idtw implementation tool and accelerators infosys accelarators infosys perfaware implementation success stories xls
550,idtw@nab v1.0 tool and accelerators infosys accelarators infosys perfaware implementation success stories ppt
551,idtw@toyota tool and accelerators infosys accelarators infosys perfaware implementation success stories ppt
552,idtw@westpac tool and accelerators infosys accelarators infosys perfaware implementation success stories ppt
553,etl bi test script tool and accelerators reusable artifacts xls
554,etl test solution rfp s ppt
555,dw estimation template templates estimation xlsm
556,infosys etl test factory blue print v0.2 collateral ppt
557,ab initio handbook train material train materials dw bi tool etl abinitio ppt
558,itdw enhancement status tool and accelerators idtw perfaware flash demo xls
559,etlcoe idtw implementation tool and accelerators idtw perfaware flash demo xls
560,data quality analysis train material train materials dw bi test doc
561,test data setup use informaticatdm train material train materials dw bi tool etl informatica pdf
562,gap etl dwh casestudy gap etl dwh retail case study by technology data stage retail ppt
563,edw case study draft michael store dwh etl case study by technology data stage retail ppt
564,rbs citizens datastage upgrade case study rbs citizens etl financial service case study by technology data stage financial service ppt
565,infosys data warehouse test solution tool and accelerators idtw perfaware flash demo ppt
566,infosys mdm test service single slide collateral mdm test ppt
567,mdm test single slider collateral mdm test ppt
568,es p310 mdm v1.1 train material train materials mdm test ppt
569,ab initio design graph for test data setup tool and accelerators ab initio_accelerators pdf
570,test data setup test case tool and accelerators ab initio_accelerators pdf
571,informatica question train material train materials question bank doc
572,dwt framework v0.1 collateral xls
573,automate etl batch job analyzer tool and accelerators informatica_accelerators ppt
574,msim mailer train material train materials bi report mailer series pdf
575,msim train material train materials bi report mailer series pdf
576,introduction to report service train material train materials bi report train ms bi ppt
577,msbi intro train material train materials bi report train ms bi ppt
578,dw bi test flyer v2 collateral doc
579,bofa knowledge share session ver0 2 tool and accelerators best practice ppt
580,citi genesis uat tool and accelerators best practice ppt
581,dwt coe well fargo tool and accelerators best practice ppt
582,fidelity best practice tool and accelerators best practice ppt
583,hyperion essbase tool and accelerators best practice ppt
584,ms bi automation case study (3) tool and accelerators best practice pdf
585,suntrust knowledge share session tool and accelerators best practice ppt
586,dw bi test account review report amex collateral account review doc
587,dw bi test account review report cgc 220116 collateral account review doc
588,suntrust dw bi test account review report v 1.1 collateral account review doc
589,twc dw bi test account review report2016 collateral account review doc
590,visa dw bi test account review report collateral account review doc
591,dw bi test account review report pwc collateral account review doc
592,dw bi test account review report sce scedisson collateral account review doc
593,rb mdm rpf reckitt benckiser mdm retail rfp s retail mdm ppt
594,"dattocsv converter unix, java tool and accelerators tool and macros doc"
595,informatica dvo video tool and accelerators informatica_accelerators mp4
596,mdm exposure feb2016 collateral mdm test xls
597,mdm estimation template collateral mdm test xls
598,mdm test strategy collateral mdm test doc
599,dw bi test account review report aetna aetna datastage healthcare collateral account review doc
600,healthcare etl case study aetna case study by vertical health care insurance and life sciences ppt
601,healthcare etl case study cvs case study by vertical health care insurance and life sciences ppt
602,retail etl case study jcpenny case study by vertical retail ppt
603,logistics etl case study case study by vertical logistics ppt
604,healthcare insurance etl technical case study case in a point technical ppt
605,infosys etl test factory case study case in a point technical ppt
606,"healthcare dw business case aetna datastage,abinitio, netezza, db2 healthcare case study case in a point business ppt"
607,"dw process case aetna datastage,abinitio, netezza, db2 healthcare case study case in a point process ppt"
608,lacare dwt analysis version 1.0 case study case in a point process ppt
609,etl market tool comparison tool and accelerators ppt
610,dwt bi train calendar for mar 2016 for l1 l2 revise train material train materials train calendar msg
611,grow your account with master data collateral mdm test reference document pdf
612,mdm practice overview collateral mdm test reference document ppt
613,infosys mdm methodolody general deck collateral mdm test reference document ppt
614,riversandmdmautomation video collateral mdm test riversand mdm wmv
615,referential data management collateral mdm test rdm ppt
616,idtw final 5 tfs final collateral tech videos mp4
617,microsoft dw bi test account review report collateral account review doc
618,amfam dw bi test account review report collateral account review doc
619,dw bi proposal generic questionnaire rfp s rfp questionnaire xls
620,advance sql train material train materials basic train material(l1 to l2) day11 sql ppt
621,sql1 train material train materials basic train material(l1 to l2) day11 sql ppt
622,adv unix part2 train material train materials basic train material(l1 to l2) day10 unix ppt
623,basic unix train material train materials basic train material(l1 to l2) day10 unix ppt
624,thumb train material train materials basic train material(l1 to l2) day10 unix db
625,unix day1 new train material train materials basic train material(l1 to l2) day10 unix pdf
626,unix day2 new train material train materials basic train material(l1 to l2) day10 unix pdf
627,day1 database fundamentals new train material train materials basic train material(l1 to l2) day1 database fundamentals ppt
628,thumb train material train materials basic train material(l1 to l2) day1 database fundamentals db
629,day1 assignment train material train materials basic train material(l1 to l2) day1 database fundamentals assignment doc
630,data validation option in informatica for datawarehouse test train material train materials basic train material(l1 to l2) day2 informatica doc
631,dvo practice train material train materials basic train material(l1 to l2) day2 informatica doc
632,labguide 01 ivs dwt informatica etl train material train materials basic train material(l1 to l2) day2 informatica pdf
633,labguide 02 for informatica work with sql server database new template train material train materials basic train material(l1 to l2) day2 informatica pdf
634,perfaware comparison with informatica dvo train material train materials basic train material(l1 to l2) day2 informatica ppt
635,slide course data integration informatica basic train material train materials basic train material(l1 to l2) day2 informatica ppt
636,thumb train material train materials basic train material(l1 to l2) day2 informatica db
637,be94ac0f train material train materials basic train material(l1 to l2) day3 introduction to data warehouse tmp
638,day2 introduction to data warehouse train material train materials basic train material(l1 to l2) day3 introduction to data warehouse ppt
639,thumb train material train materials basic train material(l1 to l2) day3 introduction to data warehouse db
640,data warehouse test life cycle train material train materials basic train material(l1 to l2) day4 data warehouse test lifecycle ppt
641,thumb train material train materials basic train material(l1 to l2) day4 data warehouse test lifecycle db
642,data warehouse test approach train material train materials basic train material(l1 to l2) day5 data warehouse test approach ppt
643,thumb train material train materials basic train material(l1 to l2) day5 data warehouse test approach db
644,assignment day6 train material train materials basic train material(l1 to l2) day6 idtw_perfaware xls
645,idtw infosys data warehouse test solution train material train materials basic train material(l1 to l2) day6 idtw_perfaware ppt
646,infosys perfaware train material train materials basic train material(l1 to l2) day6 idtw_perfaware ppt
647,performance test for data warehouse train material train materials basic train material(l1 to l2) day6 idtw_perfaware ppt
648,thumb train material train materials basic train material(l1 to l2) day6 idtw_perfaware db
649,validations for perfaware update data train material train materials basic train material(l1 to l2) day6 idtw_perfaware xls
650,well point data conversion case study v1 0 train material train materials basic train material(l1 to l2) day6 idtw_perfaware ppt
651,dwtest strategy train material train materials basic train material(l1 to l2) day7 data warehouse test strategy and macros ppt
652,etl teststrategy v1 1 train material train materials basic train material(l1 to l2) day7 data warehouse test strategy and macros doc
653,intro to macro train material train materials basic train material(l1 to l2) day7 data warehouse test strategy and macros ppt
654,thumb train material train materials basic train material(l1 to l2) day7 data warehouse test strategy and macros db
655,test data management train material train materials basic train material(l1 to l2) day8 test data management pdf
656,thumb train material train materials basic train material(l1 to l2) day8 test data management db
657,bi tester v 1 0 train material train materials basic train material(l1 to l2) day12 bi report ppt
658,bi train train material train materials basic train material(l1 to l2) day12 bi report ppt
659,slide course bi report test train material train materials basic train material(l1 to l2) day12 bi report ppt
660,thumb train material train materials basic train material(l1 to l2) day12 bi report db
661,bo presentation train material train materials basic train material(l1 to l2) day12 bi report archive ppt
662,bo report test high level pointers train material train materials basic train material(l1 to l2) day12 bi report archive ppt
663,bo train complete with exercise train material train materials basic train material(l1 to l2) day12 bi report archive ppt
664,thumb train material train materials basic train material(l1 to l2) day12 bi report archive db
665,etl test coe status mar 2016 email archive msg
666,re dwt bi train calendar for mar 2016 for l1 l2 revise email archive msg
667,re demo utilities tool of iap(integrated automation platform) email archive msg
668,etlcoe fy16 roundup and plan for fy17 email archive msg
669,re request for caliber dqa tool user manual email archive msg
670,upcoming idtw v6 0 – data ingestion validation framework email archive msg
671,etlcoe present the much await perfaware demo box email archive msg
672,idtw new feature and enhancements email archive msg
673,test data strategy for etl project train material train materials adv train material(l2 to l3) zip
674,a learners guide to data warehouse test touch point convert train material train materials dw bi test basics of dwt doc
675,day2 introduction to data warehouse convert train material train materials basic train material(l1 to l2) day3 introduction to data warehouse ppt
676,write think paper train material train materials adv train material(l2 to l3) zip
677,requirements traceability matrix template2 templates traceability xls
678,epm automatedtestcase collateral mdm test riversand mdm arf
679,presentationslides step data model basics collateral mdm test stibo mdm pdf
680,presentationslides build a product hierarchy collateral mdm test stibo mdm pdf
681,pcm a hybris pim collateral mdm test hybris mdm ppt
682,jenkins integration with perfaware tool and accelerators idtw perfaware flash demo reusable artifacts doc
683,parameterization and variable length file tool and accelerators idtw perfaware flash demo reusable artifacts doc
684,perfaware performance benchmarking detail tool and accelerators idtw perfaware flash demo reusable artifacts doc
685,qc integration with perfaware tool and accelerators idtw perfaware flash demo reusable artifacts doc
686,migration from pw to idtw tool and accelerators idtw perfaware flash demo pdf
687,perfaware system requirements tool and accelerators idtw perfaware flash demo ppt
688,infosys data test workbench faqs tool and accelerators idtw perfaware flash demo reusable artifacts pdf
689,standard etl bi dm estimation template v5 templates estimation xls
690,"bank bank informatica, business object bank rfp s financial service zip"
691,infosys data warehouse test solution tool and accelerators idtw perfaware flash demo reusable artifacts ppt
692,dqm tool comparison v0 5 tool and accelerators xls
693,caseinapoint bank implementations case study case in a point business ppt
694,caseinapoint etl healthcareimplementations v1 case study case in a point business ppt
695,ahold mdm test case study v1.0 rfp s retail mdm ppt
696,bnsf ch case study v1.0 rfp s retail mdm ppt
697,rb mdm rpf reckitt benckiser mdm retail case study by technology mdm ppt
698,dwtbi coe dashboard q1fy17 collateral account review xls
699,amerprise financial etl test informatica case study v1.0 amerprise financial etl dwh financial service case study by vertical financial service ppt
700,idtw account specific issue and customization tool and accelerators idtw perfaware flash demo xls
701,etl coe dashboard etl collateral account review xls
702,nab – test execution by perfaware nab data warehouse test financial service collateral tech videos mp4
703,scd type 2 test etl test scd type 2 data warehouse collateral tech videos ppt
704,test scd type 2 etl test scd type 2 data warehouse collateral tech videos wmv
705,karthikeyan sa (628972) daily health check up automation tool dell automation use visual c# data warehouse test collateral tech videos mp4
706,think leadership white paper rbs train material train materials adv train material(l2 to l3) zip
707,hugevolumeof data vigneswaran collateral tech videos ppt
708,wngmigration collateral tech videos wmv
709,infosys mdm test v1 5 wip collateral mdm test service offer ppt
710,mdm test flyer collateral mdm test service offer doc
711,mdm train data collateral mdm test train and enablement xls
712,summary caseinapoint etl healthcareimplementations case study case in a point technical ppt
713,caseinapoint bank implementations case study case in a point technical ppt
714,cisco client video v1 cisco etl tool and accelerators mp4
715,effort estimation train material train materials adv train material(l2 to l3) zip
716,idtw user manual tool and accelerators idtw perfaware flash demo pdf
717,bicoe report estimation template templates estimation xlsm
718,perfaware solution approach tool and accelerators idtw perfaware flash demo ppt
719,allstate casestudy case study by vertical health care insurance and life sciences ppt
720,amfam casestudy case study by vertical health care insurance and life sciences ppt
721,mfg ivs cisco case study v 01 case study by vertical manufacture ppt
722,msivs case study case study by vertical manufacture ppt
723,"jbehavetool etl coe java dwh, etl tool and accelerators opensource base tool ppt"
724,idtw demo video tool and accelerators idtw perfaware flash demo reusable artifacts doc
725,amerprise financial etl test case study v1 0 amerprise financial etl dwh financial service case study by technology informatica health care insurance and life sciences ppt
726,etl sub coe non perfaware etl toolsv1.3 tool and accelerators opensource base tool ppt
727,etl market tool comparison tool and accelerators opensource base tool ppt
728,fitnesse framework for dwhtesting v1.0 tool and accelerators opensource base tool ppt
729,perfaware issue resolution sme tool and accelerators idtw perfaware flash demo reusable artifacts rtf
730,bi train material train material train materials bi report train ms bi ppt
731,sloix edms data validation tool tool and accelerators opensource base tool ppt
732,idtw installation support video tool and accelerators idtw perfaware flash demo arf
